N,steps,residual
100,153,0.0142536
100,154,0.0141469
100,155,0.0140734
100,156,0.0139675
100,157,0.0138959
100,158,0.0137907
100,159,0.0137208
100,160,0.0136368
100,161,0.0135898
100,162,0.0135089
100,163,0.0134638
100,164,0.0133827
100,165,0.0133396
100,166,0.0132582
100,167,0.0132173
100,168,0.0131355
100,169,0.0130967
100,170,0.0130144
100,171,0.0129778
100,172,0.012895
100,173,0.0128606
100,174,0.0127772
100,175,0.012745
100,176,0.012661
100,177,0.0126311
100,178,0.0125463
100,179,0.0125187
100,180,0.0124331
100,181,0.0124079
100,182,0.0123258
100,183,0.0122986
100,184,0.0122199
100,185,0.0121907
100,186,0.0121154
100,187,0.0120843
100,188,0.0120123
100,189,0.0119793
100,190,0.0119104
100,191,0.0118757
100,192,0.0118098
100,193,0.0117734
100,194,0.0117105
100,195,0.0116725
100,196,0.0116124
100,197,0.0115729
100,198,0.0115155
100,199,0.0114745
100,200,0.0114197
100,201,0.0113774
100,202,0.0113252
100,203,0.0112815
100,204,0.0112318
100,205,0.0111868
100,206,0.0111395
100,207,0.0110932
100,208,0.0110482
100,209,0.0110009
100,210,0.0109581
100,211,0.0109096
100,212,0.0108691
100,213,0.0108195
100,214,0.010781
100,215,0.0107304
100,216,0.010694
100,217,0.0106425
100,218,0.010608
100,219,0.0105555
100,220,0.010523
100,221,0.0104696
100,222,0.010439
100,223,0.0103862
100,224,0.0103559
100,225,0.0103057
100,226,0.0102738
100,227,0.010226
100,228,0.0101926
100,229,0.0101472
100,230,0.0101123
100,231,0.0100693
100,232,0.0100329
100,233,0.00999221
100,234,0.00995433
100,235,0.00991593
100,236,0.00987666
100,237,0.00984045
100,238,0.00979984
100,239,0.00976578
100,240,0.00972386
100,241,0.00969188
100,242,0.00964871
100,243,0.00961876
100,244,0.00957436
100,245,0.00954639
100,246,0.00950082
100,247,0.00947478
100,248,0.00942806
100,249,0.0094039
100,250,0.00935608
100,251,0.00933375
100,252,0.00928657
100,253,0.00926431
100,254,0.00921937
100,255,0.00919558
100,256,0.00915284
100,257,0.00912755
100,258,0.00908697
100,259,0.0090602
100,260,0.00902176
100,261,0.00899353
100,262,0.0089572
100,263,0.00892752
100,264,0.00889328
100,265,0.00886218
100,266,0.00882999
100,267,0.00879748
100,268,0.00876732
100,269,0.00873342
100,270,0.00870526
100,271,0.00866999
100,272,0.0086438
100,273,0.00860718
100,274,0.00858294
100,275,0.00854499
100,276,0.00852267
100,277,0.00848565
100,278,0.00846298
100,279,0.00842753
100,280,0.00840386
100,281,0.00836995
100,282,0.00834531
100,283,0.0083129
100,284,0.00828731
100,285,0.00825637
100,286,0.00822986
100,287,0.00820036
100,288,0.00817296
100,289,0.00814485
100,290,0.00811659
100,291,0.00808985
100,292,0.00806075
100,293,0.00803535
100,294,0.00800677
100,295,0.00798134
100,296,0.00795401
100,297,0.00792782
100,298,0.00790171
100,299,0.00787477
100,300,0.00784985
100,301,0.0078222
100,302,0.00779844
100,303,0.0077701
100,304,0.00774747
