N,steps,min,max,total
100,499,0,1,2.33516e+08
100,500,0,1,2.33983e+08
100,501,0,1,2.3445e+08
100,502,0,1,2.34917e+08
100,503,0,1,2.35384e+08
100,504,0,1,2.35851e+08
100,505,0,1,2.36318e+08
100,506,0,1,2.36785e+08
100,507,0,1,2.37252e+08
100,508,0,1,2.37719e+08
100,509,0,1,2.38186e+08
100,510,0,1,2.38653e+08
100,511,0,1,2.3912e+08
100,512,0,1,2.39587e+08
100,513,0,1,2.40054e+08
100,514,0,1,2.40521e+08
100,515,0,1,2.40988e+08
100,516,0,1,2.41455e+08
100,517,0,1,2.41922e+08
100,518,0,1,2.42389e+08
100,519,0,1,2.42856e+08
100,520,0,1,2.43323e+08
100,521,0,1,2.4379e+08
100,522,0,1,2.44257e+08
100,523,0,1,2.44724e+08
100,524,0,1,2.45191e+08
100,525,0,1,2.45658e+08
100,526,0,1,2.46125e+08
100,527,0,1,2.46592e+08
100,528,0,1,2.47059e+08
100,529,0,1,2.47526e+08
100,530,0,1,2.47993e+08
100,531,0,1,2.4846e+08
100,532,0,1,2.48928e+08
100,533,0,1,2.49395e+08
100,534,0,1,2.49862e+08
100,535,0,1,2.50329e+08
100,536,0,1,2.50796e+08
100,537,0,1,2.51263e+08
100,538,0,1,2.5173e+08
100,539,0,1,2.52197e+08
100,540,0,1,2.52664e+08
100,541,0,1,2.53131e+08
100,542,0,1,2.53598e+08
100,543,0,1,2.54065e+08
100,544,0,1,2.54532e+08
100,545,0,1,2.54999e+08
100,546,0,1,2.55466e+08
100,547,0,1,2.55933e+08
100,548,0,1,2.564e+08
100,549,0,1,2.56867e+08
100,550,0,1,2.57334e+08
100,551,0,1,2.57801e+08
100,552,0,1,2.58268e+08
100,553,0,1,2.58735e+08
100,554,0,1,2.59202e+08
100,555,0,1,2.59669e+08
100,556,0,1,2.60136e+08
100,557,0,1,2.60603e+08
100,558,0,1,2.6107e+08
100,559,0,1,2.61537e+08
100,560,0,1,2.62004e+08
100,561,0,1,2.62471e+08
100,562,0,1,2.62938e+08
100,563,0,1,2.63405e+08
100,564,0,1,2.63872e+08
100,565,0,1,2.64339e+08
100,566,0,1,2.64806e+08
100,567,0,1,2.65273e+08
100,568,0,1,2.6574e+08
100,569,0,1,2.66207e+08
100,570,0,1,2.66674e+08
100,571,0,1,2.67141e+08
100,572,0,1,2.67608e+08
100,573,0,1,2.68075e+08
100,574,0,1,2.68542e+08
100,575,0,1,2.6901e+08
100,576,0,1,2.69477e+08
100,577,0,1,2.69944e+08
100,578,0,1,2.70411e+08
100,579,0,1,2.70878e+08
100,580,0,1,2.71345e+08
100,581,0,1,2.71812e+08
100,582,0,1,2.72279e+08
100,583,0,1,2.72746e+08
100,584,0,1,2.73213e+08
100,585,0,1,2.7368e+08
100,586,0,1,2.74147e+08
100,587,0,1,2.74614e+08
100,588,0,1,2.75081e+08
100,589,0,1,2.75548e+08
100,590,0,1,2.76015e+08
100,591,0,1,2.76482e+08
100,592,0,1,2.76949e+08
100,593,0,1,2.77416e+08
100,594,0,1,2.77883e+08
100,595,0,1,2.7835e+08
100,596,0,1,2.78817e+08
100,597,0,1,2.79284e+08
100,598,0,1,2.79751e+08
100,599,0,1,2.80218e+08
100,600,0,1,2.80685e+08
100,601,0,1,2.81152e+08
100,602,0,1,2.81619e+08
100,603,0,1,2.82086e+08
100,604,0,1,2.82553e+08
100,605,0,1,2.8302e+08
100,606,0,1,2.83487e+08
100,607,0,1,2.83954e+08
100,608,0,1,2.84421e+08
100,609,0,1,2.84888e+08
100,610,0,1,2.85355e+08
100,611,0,1,2.85822e+08
100,612,0,1,2.86289e+08
100,613,0,1,2.86756e+08
100,614,0,1,2.87223e+08
100,615,0,1,2.8769e+08
100,616,0,1,2.88157e+08
100,617,0,1,2.88625e+08
100,618,0,1,2.89092e+08
100,619,0,1,2.89559e+08
100,620,0,1,2.90026e+08
100,621,0,1,2.90493e+08
100,622,0,1,2.9096e+08
100,623,0,1,2.91427e+08
100,624,0,1,2.91894e+08
100,625,0,1,2.92361e+08
100,626,0,1,2.92828e+08
100,627,0,1,2.93295e+08
100,628,0,1,2.93762e+08
100,629,0,1,2.94229e+08
100,630,0,1,2.94696e+08
100,631,0,1,2.95163e+08
100,632,0,1,2.9563e+08
100,633,0,1,2.96097e+08
100,634,0,1,2.96564e+08
100,635,0,1,2.97031e+08
100,636,0,1,2.97498e+08
100,637,0,1,2.97965e+08
100,638,0,1,2.98432e+08
100,639,0,1,2.98899e+08
100,640,0,1,2.99366e+08
100,641,0,1,2.99833e+08
100,642,0,1,3.003e+08
100,643,0,1,3.00767e+08
100,644,0,1,3.01234e+08
100,645,0,1,3.01701e+08
100,646,0,1,3.02168e+08
100,647,0,1,3.02635e+08
100,648,0,1,3.03102e+08
100,649,0,1,3.03569e+08
100,650,0,1,3.04036e+08
100,651,0,1,3.04503e+08
100,652,0,1,3.0497e+08
100,653,0,1,3.05437e+08
100,654,0,1,3.05904e+08
100,655,0,1,3.06371e+08
100,656,0,1,3.06838e+08
100,657,0,1,3.07305e+08
100,658,0,1,3.07772e+08
100,659,0,1,3.0824e+08
100,660,0,1,3.08707e+08
100,661,0,1,3.09174e+08
100,662,0,1,3.09641e+08
100,663,0,1,3.10108e+08
100,664,0,1,3.10575e+08
100,665,0,1,3.11042e+08
100,666,0,1,3.11509e+08
100,667,0,1,3.11976e+08
100,668,0,1,3.12443e+08
100,669,0,1,3.1291e+08
100,670,0,1,3.13377e+08
100,671,0,1,3.13844e+08
100,672,0,1,3.14311e+08
100,673,0,1,3.14778e+08
100,674,0,1,3.15245e+08
100,675,0,1,3.15712e+08
100,676,0,1,3.16179e+08
100,677,0,1,3.16646e+08
100,678,0,1,3.17113e+08
100,679,0,1,3.1758e+08
100,680,0,1,3.18047e+08
100,681,0,1,3.18514e+08
100,682,0,1,3.18981e+08
100,683,0,1,3.19448e+08
100,684,0,1,3.19915e+08
100,685,0,1,3.20382e+08
100,686,0,1,3.20849e+08
100,687,0,1,3.21316e+08
100,688,0,1,3.21783e+08
100,689,0,1,3.2225e+08
100,690,0,1,3.22717e+08
100,691,0,1,3.23184e+08
100,692,0,1,3.23651e+08
100,693,0,1,3.24118e+08
100,694,0,1,3.24585e+08
100,695,0,1,3.25052e+08
100,696,0,1,3.25519e+08
100,697,0,1,3.25986e+08
100,698,0,1,3.26453e+08
100,699,0,1,3.2692e+08
100,700,0,1,3.27387e+08
100,701,0,1,3.27855e+08
100,702,0,1,3.28322e+08
100,703,0,1,3.28789e+08
100,704,0,1,3.29256e+08
100,705,0,1,3.29723e+08
100,706,0,1,3.3019e+08
100,707,0,1,3.30657e+08
100,708,0,1,3.31124e+08
100,709,0,1,3.31591e+08
100,710,0,1,3.32058e+08
100,711,0,1,3.32525e+08
100,712,0,1,3.32992e+08
100,713,0,1,3.33459e+08
100,714,0,1,3.33926e+08
100,715,0,1,3.34393e+08
100,716,0,1,3.3486e+08
100,717,0,1,3.35327e+08
100,718,0,1,3.35794e+08
100,719,0,1,3.36261e+08
100,720,0,1,3.36728e+08
100,721,0,1,3.37195e+08
100,722,0,1,3.37662e+08
100,723,0,1,3.38129e+08
100,724,0,1,3.38596e+08
100,725,0,1,3.39063e+08
100,726,0,1,3.3953e+08
100,727,0,1,3.39997e+08
100,728,0,1,3.40464e+08
100,729,0,1,3.40931e+08
100,730,0,1,3.41398e+08
100,731,0,1,3.41865e+08
100,732,0,1,3.42332e+08
100,733,0,1,3.42799e+08
100,734,0,1,3.43266e+08
100,735,0,1,3.43733e+08
100,736,0,1,3.442e+08
100,737,0,1,3.44667e+08
100,738,0,1,3.45134e+08
100,739,0,1,3.45601e+08
100,740,0,1,3.46068e+08
100,741,0,1,3.46535e+08
100,742,0,1,3.47002e+08
100,743,0,1,3.4747e+08
100,744,0,1,3.47937e+08
100,745,0,1,3.48404e+08
100,746,0,1,3.48871e+08
100,747,0,1,3.49338e+08
100,748,0,1,3.49805e+08
100,749,0,1,3.50272e+08
100,750,0,1,3.50739e+08
100,751,0,1,3.51206e+08
100,752,0,1,3.51673e+08
100,753,0,1,3.5214e+08
100,754,0,1,3.52607e+08
100,755,0,1,3.53074e+08
100,756,0,1,3.53541e+08
100,757,0,1,3.54008e+08
100,758,0,1,3.54475e+08
100,759,0,1,3.54942e+08
100,760,0,1,3.55409e+08
100,761,0,1,3.55876e+08
100,762,0,1,3.56343e+08
100,763,0,1,3.5681e+08
100,764,0,1,3.57277e+08
100,765,0,1,3.57744e+08
100,766,0,1,3.58211e+08
100,767,0,1,3.58678e+08
100,768,0,1,3.59145e+08
100,769,0,1,3.59612e+08
100,770,0,1,3.60079e+08
100,771,0,1,3.60546e+08
100,772,0,1,3.61013e+08
100,773,0,1,3.6148e+08
100,774,0,1,3.61947e+08
100,775,0,1,3.62414e+08
100,776,0,1,3.62881e+08
100,777,0,1,3.63348e+08
100,778,0,1,3.63815e+08
100,779,0,1,3.64282e+08
100,780,0,1,3.64749e+08
100,781,0,1,3.65216e+08
100,782,0,1,3.65683e+08
100,783,0,1,3.6615e+08
100,784,0,1,3.66617e+08
100,785,0,1,3.67085e+08
100,786,0,1,3.67552e+08
100,787,0,1,3.68019e+08
100,788,0,1,3.68486e+08
100,789,0,1,3.68953e+08
100,790,0,1,3.6942e+08
100,791,0,1,3.69887e+08
100,792,0,1,3.70354e+08
100,793,0,1,3.70821e+08
100,794,0,1,3.71288e+08
100,795,0,1,3.71755e+08
100,796,0,1,3.72222e+08
100,797,0,1,3.72689e+08
100,798,0,1,3.73156e+08
100,799,0,1,3.73623e+08
100,800,0,1,3.7409e+08
100,801,0,1,3.74557e+08
100,802,0,1,3.75024e+08
100,803,0,1,3.75491e+08
100,804,0,1,3.75958e+08
100,805,0,1,3.76425e+08
100,806,0,1,3.76892e+08
100,807,0,1,3.77359e+08
100,808,0,1,3.77826e+08
100,809,0,1,3.78293e+08
100,810,0,1,3.7876e+08
100,811,0,1,3.79227e+08
100,812,0,1,3.79694e+08
100,813,0,1,3.80161e+08
100,814,0,1,3.80628e+08
100,815,0,1,3.81095e+08
100,816,0,1,3.81562e+08
100,817,0,1,3.82029e+08
100,818,0,1,3.82496e+08
100,819,0,1,3.82963e+08
100,820,0,1,3.8343e+08
100,821,0,1,3.83897e+08
100,822,0,1,3.84364e+08
100,823,0,1,3.84831e+08
100,824,0,1,3.85298e+08
100,825,0,1,3.85765e+08
100,826,0,1,3.86232e+08
100,827,0,1,3.867e+08
100,828,0,1,3.87167e+08
100,829,0,1,3.87634e+08
100,830,0,1,3.88101e+08
100,831,0,1,3.88568e+08
100,832,0,1,3.89035e+08
100,833,0,1,3.89502e+08
100,834,0,1,3.89969e+08
100,835,0,1,3.90436e+08
100,836,0,1,3.90903e+08
100,837,0,1,3.9137e+08
100,838,0,1,3.91837e+08
100,839,0,1,3.92304e+08
100,840,0,1,3.92771e+08
100,841,0,1,3.93238e+08
100,842,0,1,3.93705e+08
100,843,0,1,3.94172e+08
100,844,0,1,3.94639e+08
100,845,0,1,3.95106e+08
100,846,0,1,3.95573e+08
100,847,0,1,3.9604e+08
100,848,0,1,3.96507e+08
100,849,0,1,3.96974e+08
100,850,0,1,3.97441e+08
100,851,0,1,3.97908e+08
100,852,0,1,3.98375e+08
100,853,0,1,3.98842e+08
100,854,0,1,3.99309e+08
100,855,0,1,3.99776e+08
100,856,0,1,4.00243e+08
100,857,0,1,4.0071e+08
100,858,0,1,4.01177e+08
100,859,0,1,4.01644e+08
100,860,0,1,4.02111e+08
100,861,0,1,4.02578e+08
100,862,0,1,4.03045e+08
100,863,0,1,4.03512e+08
100,864,0,1,4.03979e+08
100,865,0,1,4.04446e+08
100,866,0,1,4.04913e+08
100,867,0,1,4.0538e+08
100,868,0,1,4.05847e+08
100,869,0,1,4.06315e+08
100,870,0,1,4.06782e+08
100,871,0,1,4.07249e+08
100,872,0,1,4.07716e+08
100,873,0,1,4.08183e+08
